ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.15300790965557098,0.2538454532623291,0,2,0.012000000104308128,0.21412792801856995,0.012686767615377903,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.10398688167333603,0.16624099016189575,0,2,0.012000000104308128,0.4905008375644684,0.04194582253694534,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.08217480033636093,0.24859903752803802,0,2,0.012000000104308128,1.1772005558013916,0.10342879593372345,500
4,1,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.07395750284194946,0.2014559656381607,0,2,0.012000000104308128,0.8829012513160706,0.06748103350400925,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.08417997509241104,nan,-1,0,nan,nan,nan,500
6,1,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.08576793223619461,0.22271990776062012,0,2,0.012000000104308128,0.882899284362793,0.07164866477251053,500
7,1,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.0682387426495552,0.2131008356809616,0,2,0.012000000104308128,0.8828986287117004,0.06957066059112549,500
8,1,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.10662597417831421,0.17424672842025757,0,2,0.012000000104308128,0.7847985625267029,0.0603095218539238,500
9,1,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.08165862411260605,nan,-1,0,nan,nan,nan,500
10,1,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.07588373869657516,0.2243974208831787,0,2,0.012000000104308128,0.981000542640686,0.07771675288677216,500
11,1,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.07715939730405807,0.21987122297286987,0,2,0.012000000104308128,0.9810015559196472,0.07925764471292496,500
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.08511470258235931,0.1814401000738144,0,2,0.012000000104308128,0.6866992115974426,0.04888713359832764,500
13,1,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.06705174595117569,0.2550193667411804,0,2,0.012000000104308128,1.0790965557098389,0.09844335168600082,500
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.08940466493368149,0.1753121167421341,0,2,0.012000000104308128,0.7847989201545715,0.047969311475753784,500
15,1,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.11314865946769714,0.18180830776691437,0,2,0.012000000104308128,0.7847991585731506,0.06305846571922302,500
16,1,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.09732500463724136,nan,-1,0,nan,nan,nan,500
17,0,0.01262484211474657,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.11060741543769836,0.2469884753227234,0,2,0.012000000104308128,0.19937434792518616,0.01262484211474657,500
18,0,0.02022174373269081,0.12362480163574219,-0.0969010591506958,0.012000000104308128,0.05157901719212532,0.21713680028915405,0,2,0.012000000104308128,0.276642382144928,0.02022174373269081,500
19,0,0.012000035494565964,0.17497706413269043,0.10888040065765381,0.012000000104308128,0.18328070640563965,nan,-1,0,nan,nan,nan,500
20,0,0.022765202447772026,0.12008047103881836,-0.05256009101867676,0.012000000104308128,0.04684089496731758,0.20327067375183105,0,2,0.012000000104308128,0.4110063910484314,0.022765202447772026,500
21,0,0.012000038288533688,0.18953359127044678,0.08832526206970215,0.012000000104308128,0.1686427742242813,nan,-1,0,nan,nan,nan,500
22,0,0.012000036425888538,0.17283833026885986,-0.030564308166503906,0.012000000104308128,0.074373759329319,0.1745084673166275,0,2,0.012000000104308128,0.0002202850446337834,0.012000036425888538,500
23,0,0.012000037357211113,0.2951472997665405,0.01063382625579834,0.012000000104308128,0.14778034389019012,0.1734631061553955,0,2,0.012000000104308128,0.0002202850446337834,0.012000037357211113,500
24,0,0.012000038288533688,0.15684497356414795,0.08582353591918945,0.012000000104308128,0.16086097061634064,nan,-1,0,nan,nan,nan,500
25,0,0.021130630746483803,0.10306048393249512,-0.037621498107910156,0.012000000104308128,0.03930888697504997,0.20995888113975525,0,2,0.012000000104308128,0.2419007420539856,0.021130630746483803,500
26,0,0.012000036425888538,0.29536163806915283,-0.1659764051437378,0.012000000104308128,0.1693345457315445,0.2397686392068863,0,2,0.012000000104308128,0.0002202850446337834,0.012000036425888538,500
27,0,0.012000036425888538,0.228052020072937,0.06049919128417969,0.012000000104308128,0.14306199550628662,nan,-1,0,nan,nan,nan,500
28,0,0.012000038288533688,0.1700359582901001,-0.18383574485778809,0.012000000104308128,0.12945526838302612,0.25219210982322693,0,2,0.012000000104308128,0.0002202937612310052,0.012000038288533688,500
29,0,0.012000037357211113,0.27138376235961914,0.1905527114868164,0.012000000104308128,0.24935217201709747,nan,-1,0,nan,nan,nan,500
30,0,0.012000035494565964,0.18785953521728516,0.1879512071609497,0.012000000104308128,0.2421019971370697,nan,-1,0,nan,nan,nan,500
31,0,0.012000035494565964,0.21926093101501465,0.08688652515411377,0.012000000104308128,0.17097827792167664,nan,-1,0,nan,nan,nan,500
32,0,0.01200003270059824,0.2354724407196045,-0.057801008224487305,0.012000000104308128,0.10195428133010864,0.17128750681877136,0,2,0.012000000104308128,0.00022028824605513364,0.01200003270059824,500
33,0,0.012518903240561485,0.24727940559387207,-0.1401996612548828,0.012000000104308128,0.12231770902872086,0.21410822868347168,0,2,0.012000000104308128,0.18208195269107819,0.012518903240561485,500
34,0,0.012000037357211113,0.24120807647705078,0.03643190860748291,0.012000000104308128,0.13797788321971893,nan,-1,0,nan,nan,nan,500
35,1,0.07550515234470367,0.26769542694091797,0.011974692344665527,0.012000000104308128,0.14546382427215576,0.1655803918838501,0,2,0.012000000104308128,0.8828991055488586,0.07550515234470367,500
36,0,0.012000038288533688,0.16275882720947266,-0.17993497848510742,0.012000000104308128,0.12168896198272705,0.2512781023979187,0,2,0.012000000104308128,0.00022028700914233923,0.012000038288533688,500
37,1,0.052379049360752106,0.11308050155639648,0.04902505874633789,0.012000000104308128,0.1620374470949173,nan,-1,0,nan,nan,nan,500
38,1,0.09403945505619049,0.1535865068435669,0.14403307437896729,0.012000000104308128,0.09769053012132645,nan,-1,0,nan,nan,nan,500
39,1,0.1257438361644745,0.11919105052947998,0.1881505250930786,0.012000000104308128,0.07148170471191406,nan,-1,0,nan,nan,nan,500
40,1,0.1082475334405899,0.1510467529296875,-0.1235055923461914,0.012000000104308128,0.11022628098726273,0.21863459050655365,0,2,0.012000000104308128,1.1771981716156006,0.1082475334405899,500
41,1,0.054359376430511475,0.1712878942489624,-0.09165310859680176,0.012000000104308128,0.051453202962875366,0.19515158236026764,0,2,0.012000000104308128,0.7848001718521118,0.054359376430511475,500
42,0,0.03166363388299942,0.25710761547088623,-0.16068267822265625,0.012000000104308128,0.16203264892101288,0.2288915067911148,0,2,0.012000000104308128,0.39239996671676636,0.03166363388299942,500
43,1,0.06635435670614243,0.1212918758392334,0.09677565097808838,0.012000000104308128,0.1262618601322174,nan,-1,0,nan,nan,nan,500
44,1,0.08847092092037201,0.21125459671020508,-0.022504568099975586,0.012000000104308128,0.08406080305576324,0.1641480028629303,0,2,0.012000000104308128,1.079100251197815,0.08847092092037201,500
45,1,0.18924368917942047,0.10089755058288574,-0.1822371482849121,0.012000000104308128,0.08446763455867767,0.2763870060443878,0,2,0.012000000104308128,1.7657928466796875,0.18924368917942047,500
46,1,0.17309468984603882,0.10268807411193848,-0.16900134086608887,0.012000000104308128,0.10580174624919891,0.26698037981987,0,2,0.012000000104308128,1.6676982641220093,0.17309468984603882,500
47,1,0.13042451441287994,0.2711915969848633,-0.1660606861114502,0.012000000104308128,0.051570963114500046,0.23462115228176117,0,2,0.012000000104308128,1.3733978271484375,0.13042451441287994,500
48,1,0.1142331138253212,0.16948390007019043,0.15547561645507812,0.012000000104308128,0.05970388650894165,nan,-1,0,nan,nan,nan,500
49,0,0.012541661038994789,0.107208251953125,-0.19166994094848633,0.012000000104308128,0.13183705508708954,0.2798146903514862,0,2,0.012000000104308128,0.1679656207561493,0.012541661038994789,500
50,0,0.045852288603782654,0.27251148223876953,0.10095643997192383,0.012000000104308128,0.13887009024620056,nan,-1,0,nan,nan,nan,500
51,0,0.012000037357211113,0.10598897933959961,0.12496364116668701,0.012000000104308128,0.16648469865322113,nan,-1,0,nan,nan,nan,500
52,0,0.0293620266020298,0.1974480152130127,-0.17100930213928223,0.012000000104308128,0.12797199189662933,0.2374831736087799,0,2,0.012000000104308128,0.392399400472641,0.0293620266020298,500
53,0,0.012000034563243389,0.24875211715698242,-0.1331338882446289,0.012000000104308128,0.12873786687850952,0.20966674387454987,0,2,0.012000000104308128,0.00022028970124665648,0.012000034563243389,500
54,0,0.012000037357211113,0.15727150440216064,-0.08725440502166748,0.012000000104308128,0.05863606929779053,0.19799548387527466,0,2,0.012000000104308128,0.0002202850446337834,0.012000037357211113,500
55,0,0.012000036425888538,0.10964584350585938,0.19447124004364014,0.012000000104308128,0.22856451570987701,0.2809116542339325,0,2,0.012000000104308128,0.0002202850446337834,0.012000036425888538,500
56,0,0.012000038288533688,0.23848474025726318,0.06802964210510254,0.012000000104308128,0.153611421585083,0.17521385848522186,0,2,0.012000000104308128,0.0002202937612310052,0.012000038288533688,500
57,0,0.012000038288533688,0.18603527545928955,0.06679272651672363,0.012000000104308128,0.15056313574314117,nan,-1,0,nan,nan,nan,500
58,0,0.012000033631920815,0.2979728579521179,0.13102316856384277,0.012000000104308128,0.21805939078330994,nan,-1,0,nan,nan,nan,500
59,0,0.012000036425888538,0.1407538652420044,0.1265571117401123,0.012000000104308128,0.1827532947063446,nan,-1,0,nan,nan,nan,500
60,0,0.012000036425888538,0.19108796119689941,-0.17247629165649414,0.012000000104308128,0.12425395101308823,0.2395493984222412,0,2,0.012000000104308128,0.00022028580133337528,0.012000036425888538,500
61,0,0.012000037357211113,0.16961312294006348,-0.1501297950744629,0.012000000104308128,0.095058374106884,0.22892984747886658,0,2,0.012000000104308128,0.00022028168314136565,0.012000037357211113,500
62,0,0.012000035494565964,0.24314451217651367,-0.07079589366912842,0.012000000104308128,0.0967106744647026,0.17639505863189697,0,2,0.012000000104308128,0.00022028348757885396,0.012000035494565964,500
63,1,0.09542778134346008,0.2257981300354004,-0.16614198684692383,0.012000000104308128,0.08311198651790619,0.23150193691253662,0,2,0.012000000104308128,1.1771982908248901,0.09542778134346008,500
64,0,0.01200003270059824,0.16179823875427246,-0.10013008117675781,0.012000000104308128,0.06545685231685638,0.2023676484823227,0,2,0.012000000104308128,0.00022028824605513364,0.01200003270059824,500
65,0,0.01231697853654623,0.19176697731018066,-0.03780364990234375,0.012000000104308128,0.0796307921409607,0.17046189308166504,0,2,0.012000000104308128,0.14645478129386902,0.01231697853654623,500
66,0,0.012000040151178837,0.27995824813842773,-0.19766676425933838,0.012000000104308128,0.181650310754776,0.2594083547592163,0,2,0.012000000104308128,0.00022028932289686054,0.012000040151178837,500
67,1,0.12477103620767593,0.17843413352966309,-0.11500251293182373,0.012000000104308128,0.11363252252340317,0.20513854920864105,0,2,0.012000000104308128,1.3734025955200195,0.12477103620767593,500
68,0,0.012000034563243389,0.24039578437805176,-0.12755203247070312,0.012000000104308128,0.11808474361896515,0.20566946268081665,0,2,0.012000000104308128,0.00022028603416401893,0.012000034563243389,500
69,1,0.07524167001247406,0.16496407985687256,-0.028317928314208984,0.012000000104308128,0.09379290789365768,0.17696987092494965,0,2,0.012000000104308128,0.8829006552696228,0.07524167001247406,500
70,1,0.12765052914619446,0.16975247859954834,0.16381561756134033,0.012000000104308128,0.07345404475927353,nan,-1,0,nan,nan,nan,500
71,1,0.1530822366476059,0.2955319881439209,-0.0643770694732666,0.012000000104308128,0.1727578341960907,0.18477767705917358,0,2,0.012000000104308128,1.5695992708206177,0.1530822366476059,500
72,1,0.11163459718227386,0.26330864429473877,-0.14965319633483887,0.012000000104308128,0.0642581507563591,0.22208112478256226,0,2,0.012000000104308128,1.275296926498413,0.11163459718227386,500
73,1,0.09018822014331818,0.14736366271972656,-0.09832358360290527,0.012000000104308128,0.100888691842556,0.20696645975112915,0,2,0.012000000104308128,1.079101324081421,0.09018822014331818,500
74,1,0.08839337527751923,0.14847862720489502,0.04741811752319336,0.012000000104308128,0.15645627677440643,nan,-1,0,nan,nan,nan,500
75,1,0.1315285712480545,0.1440204381942749,-0.13505125045776367,0.012000000104308128,0.1192067489027977,0.22797299921512604,0,2,0.012000000104308128,1.3733961582183838,0.1315285712480545,500
