ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.17221298813819885,0.23270738124847412,8,88,0.011999939568340778,0.00038456384208984673,0.012000031769275665,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.0832354798913002,0.12335743010044098,14,138,0.014310657978057861,0.24185945093631744,0.014310657978057861,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.08501807600259781,0.11629962921142578,14,84,0.021107280626893044,0.27759480476379395,0.021107280626893044,500
4,0,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.07064805179834366,0.11171631515026093,16,86,0.01199993398040533,0.00022929615806788206,0.012000052258372307,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.07601777464151382,0.11083220690488815,16,120,0.011999827809631824,0.0004934468306601048,0.011999949812889099,500
6,0,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.0703589916229248,0.09974052011966705,16,90,0.02283605933189392,0.26986929774284363,0.02283605933189392,500
7,0,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.06884846091270447,0.11465591192245483,14,136,0.020536303520202637,0.2756175696849823,0.020536303520202637,500
8,0,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.07765106856822968,0.10541258007287979,14,88,0.02102147415280342,0.24876505136489868,0.021101001650094986,500
9,0,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.07056489586830139,0.12922318279743195,8,92,0.020262598991394043,0.7848001718521118,0.020262598991394043,500
10,0,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.07551094144582748,0.11909700185060501,14,84,0.013599060475826263,0.2045810967683792,0.015592467971146107,500
11,0,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.07374721765518188,0.12045729905366898,14,132,0.01685863733291626,0.287827730178833,0.01685863733291626,500
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.07142380625009537,0.11074313521385193,16,132,0.0119991609826684,0.0020405577961355448,0.012000042013823986,500
13,0,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.08395447582006454,0.12129902839660645,14,132,0.022821687161922455,0.26838740706443787,0.022821687161922455,500
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.0706285759806633,0.11044243723154068,16,90,0.011999987997114658,0.0003040951560251415,0.012000033631920815,500
15,0,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.08548977971076965,0.12073010951280594,14,132,0.015441439114511013,0.26162734627723694,0.015441439114511013,500
16,0,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.08914002031087875,0.10782802850008011,16,88,0.021326931193470955,0.2761746644973755,0.022041738033294678,500
17,0,0.01262484211474657,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.1569577008485794,0.2220558375120163,8,88,0.012000036425888538,0.00019706180319190025,0.012000058777630329,500
18,0,0.012000035494565964,0.12362480163574219,-0.0969010591506958,0.012000000104308128,0.11303172260522842,0.18918070197105408,8,86,0.011999918147921562,0.0002041855186689645,0.012000035494565964,500
19,0,0.012000035494565964,0.17497706413269043,0.10888040065765381,0.012000000104308128,0.11738759279251099,0.1615220010280609,14,130,0.011999906972050667,0.0002041855186689645,0.012000035494565964,500
20,0,0.012000036425888538,0.12008047103881836,-0.05256009101867676,0.012000000104308128,0.09261825680732727,0.17439591884613037,8,90,0.011999918147921562,0.00020409899298101664,0.012000036425888538,500
21,0,0.012000038288533688,0.18953359127044678,0.08832526206970215,0.012000000104308128,0.09019695222377777,0.16630111634731293,8,132,0.012000023387372494,0.00019637419609352946,0.012000038288533688,500
