ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.04288111999630928,0.04364399611949921,196,804,0.01200003270059824,0.000214482206501998,0.012000042013823986,1000,3
13,0,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.04448075592517853,0.04542497918009758,222,778,0.011999929323792458,0.00034077235613949597,0.012000077404081821,1000,3
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.04308090731501579,0.043857455253601074,196,804,0.011999987997114658,0.0003040964074898511,0.012000048533082008,1000,3
15,0,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.041997458785772324,0.04315841943025589,184,816,0.011999786831438541,0.00045960911666043103,0.01199981477111578,1000,3
16,0,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.04454144462943077,0.0455998033285141,210,790,0.011999969370663166,0.00014755738084204495,0.012000076472759247,1000,3
17,0,0.017548227682709694,0.28409528732299805,-0.17914247512817383,0.012000000104308128,0.025971485301852226,0.02621898427605629,642,358,0.017526496201753616,0.10397370159626007,0.017548227682709694,1000,3
18,0,0.012000037357211113,0.28293371200561523,0.07450723648071289,0.012000000104308128,0.046287331730127335,0.04918212071061134,196,804,0.011999925598502159,0.00021847816242370754,0.012000037357211113,1000,3
19,0,0.012000036425888538,0.1730670928955078,-0.1047295331954956,0.012000000104308128,0.04668068513274193,0.0474836565554142,270,730,0.012000024318695068,0.00020781313651241362,0.012000036425888538,1000,3
20,0,0.012000037357211113,0.1377391815185547,-0.017969846725463867,0.012000000104308128,0.047310419380664825,0.04734056442975998,254,746,0.011999938637018204,0.00020410676370374858,0.012000036425888538,1000,3
21,0,0.012000035494565964,0.12057209014892578,0.08109760284423828,0.012000000104308128,0.048953283578157425,0.04904559254646301,310,690,0.012000026181340218,0.00019634724594652653,0.012000035494565964,1000,3
22,0,0.012000036425888538,0.1364741325378418,-0.01568162441253662,0.012000000104308128,0.04703889042139053,0.047067347913980484,256,744,0.012000014074146748,0.000199925692868419,0.012000036425888538,1000,3
23,0,0.012000036425888538,0.13093256950378418,-0.06639540195465088,0.012000000104308128,0.047502025961875916,0.04759370535612106,286,714,0.011999939568340778,0.000199925692868419,0.012000036425888538,1000,3
24,0,0.012000036425888538,0.2735905647277832,-0.15557146072387695,0.012000000104308128,0.05092005804181099,0.05363890156149864,282,718,0.011999992653727531,0.00019639951642602682,0.012000035494565964,1000,3
25,0,0.012000038288533688,0.19778931140899658,0.03972053527832031,0.012000000104308128,0.043812528252601624,0.04466328024864197,202,798,0.012000022456049919,0.00019631654140539467,0.012000038288533688,1000,3
26,0,0.012000037357211113,0.15484654903411865,0.01381218433380127,0.012000000104308128,0.04626362770795822,0.04643164947628975,232,768,0.012000025250017643,0.00019840501772705466,0.012000037357211113,1000,3
27,0,0.012000037357211113,0.27694249153137207,0.14627563953399658,0.012000000104308128,0.05426798015832901,0.057077497243881226,264,736,0.01199992187321186,0.0002003174740821123,0.012000037357211113,1000,3
