ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.25240838527679443,0.28938862681388855,28,128,0.01200003083795309,0.00020131173369009048,0.012000031769275665,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.1325474977493286,0.18743950128555298,24,122,0.011999893002212048,0.0002718469186220318,0.012000003829598427,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.09298340231180191,0.17111074924468994,18,124,0.01948200725018978,0.2627170979976654,0.019753897562623024,500
4,0,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.11547952145338058,0.15278968214988708,8,140,0.03314594924449921,0.8829012513160706,0.03314594924449921,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.13711175322532654,0.17435115575790405,16,134,0.011999827809631824,0.0004934468306601048,0.011999949812889099,500
6,0,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.11298926174640656,0.14880144596099854,8,140,0.03731371834874153,0.882899284362793,0.03731371834874153,500
7,0,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.11394280195236206,0.15190821886062622,8,136,0.03523576259613037,0.8828986287117004,0.03523576259613037,500
8,0,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.11279769241809845,0.17756833136081696,20,128,0.019607732072472572,0.24876505136489868,0.019607732072472572,500
9,0,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.1276530921459198,0.17676998674869537,12,122,0.013266266323626041,0.11233542859554291,0.013433322310447693,500
10,0,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.10763099044561386,0.1726304292678833,12,90,0.015925824642181396,0.445833683013916,0.015925824642181396,500
