ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.24466553330421448,0.24496665596961975,4,164,0.012316412292420864,0.014989729970693588,0.012316412292420864,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.13430289924144745,0.14374485611915588,4,162,0.033116795122623444,0.4905008375644684,0.033116795122623444,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.09257999062538147,0.09550029039382935,4,162,0.09459977596998215,1.1772005558013916,0.09459977596998215,500
4,0,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.11596842855215073,0.12291111052036285,4,162,0.05865199863910675,0.8829012513160706,0.05865199863910675,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.13857468962669373,0.1466812789440155,4,162,0.03414463624358177,0.6867008805274963,0.03414463624358177,500
6,0,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.1134641095995903,0.12032228708267212,4,162,0.06281968951225281,0.882899284362793,0.06281968951225281,500
7,0,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.11393991857767105,0.1209859624505043,4,162,0.06074170395731926,0.8828986287117004,0.06074170395731926,500
8,0,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.11408860236406326,0.1245708018541336,4,164,0.05148056522011757,0.7847985625267029,0.05148056522011757,500
9,0,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.12884747982025146,0.13639414310455322,4,162,0.045768603682518005,0.7848001718521118,0.045768603682518005,500
10,0,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.1081378161907196,0.11429413408041,4,160,0.06888774037361145,0.981000542640686,0.06888774037361145,500
11,0,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.10733605921268463,0.11345246434211731,4,160,0.07042860239744186,0.9810015559196472,0.07042860239744186,500
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.13072384893894196,0.13894115388393402,4,162,0.040058158338069916,0.6866992115974426,0.040058158338069916,500
13,0,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.09688881784677505,0.10028689354658127,4,164,0.08961445093154907,1.0790965557098389,0.08961445093154907,500
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.13140854239463806,0.13975276052951813,4,162,0.03914034366607666,0.7847989201545715,0.03914034366607666,500
15,0,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.11259850859642029,0.12223538756370544,4,162,0.0542294941842556,0.7847991585731506,0.0542294941842556,500
16,0,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.09591179341077805,0.10416604578495026,4,160,0.08402279019355774,1.0790979862213135,0.08402279019355774,500
