ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length,final_state
1,0,0.012686790898442268,0.22259199619293213,-0.19597649574279785,0.012000000104308128,0.05133187770843506,0.05367875471711159,342,158,0.011999952606856823,0.00020174407109152526,0.012000035494565964,500,3
2,0,0.04194572567939758,0.24724948406219482,-0.03760719299316406,0.012000000104308128,0.04221110790967941,0.043519679456949234,180,320,0.011999905109405518,0.0002662117185536772,0.012000003829598427,500,3
3,1,0.10342871397733688,0.26598286628723145,-0.1863248348236084,0.012000000104308128,0.0435202457010746,0.04473387077450752,202,298,0.011999890208244324,0.0004025877278763801,0.012000001966953278,500,3
4,1,0.0674808919429779,0.20276713371276855,-0.1172717809677124,0.012000000104308128,0.043944355100393295,0.04469719156622887,202,298,0.011999931186437607,0.0002302566426806152,0.012000045739114285,500,3
5,0,0.012626859359443188,0.1532689332962036,-0.16978788375854492,0.012000000104308128,0.052056778222322464,0.053328532725572586,354,146,0.011999962851405144,0.00015196047024801373,0.012000013142824173,500,3
6,0,0.012000037357211113,0.12362492084503174,-0.0969010591506958,0.012000000104308128,0.04898328706622124,0.04919690638780594,318,182,0.01199993398040533,0.00019836978754028678,0.012000028975307941,500,3
7,0,0.012000037357211113,0.17497718334197998,0.10888040065765381,0.012000000104308128,0.047307491302490234,0.04816815257072449,272,228,0.011999926529824734,0.00019836978754028678,0.012000037357211113,500,3
8,0,0.012000036425888538,0.12008035182952881,-0.05256009101867676,0.012000000104308128,0.047576840966939926,0.0475948266685009,294,206,0.01199989952147007,0.00019892632553819567,0.012000031769275665,500,3
9,0,0.012519565410912037,0.24727940559387207,-0.1401996612548828,0.012000000104308128,0.050543904304504395,0.05288921669125557,262,238,0.012000004760921001,0.00015108933439478278,0.012000007554888725,500,3
10,1,0.09197472780942917,0.24120819568634033,0.03643190860748291,0.012000000104308128,0.047302309423685074,0.04753979668021202,268,232,0.011999912559986115,0.00032492700847797096,0.012000019662082195,500,3
