ep,success,z_max,cube_init_x,cube_init_y,cube_init_z,ee_to_cube_min,ee_to_cube_at_close,first_close_step,gripper_closed_steps,z_at_first_close,cube_vel_max_after_close,z_at_grasp_max,ep_length
1,0,0.012686767615377903,0.22259211540222168,-0.19597649574279785,0.012000000104308128,0.19504815340042114,0.2596447467803955,4,76,0.012316412292420864,0.014989729970693588,0.012316412292420864,500
2,0,0.04194582253694534,0.24724960327148438,-0.03760719299316406,0.012000000104308128,0.09281010180711746,0.14566321671009064,4,78,0.033116795122623444,0.4905008375644684,0.033116795122623444,500
3,1,0.10342879593372345,0.26598310470581055,-0.1863248348236084,0.012000000104308128,0.09404311329126358,0.12937822937965393,6,76,0.0838087648153305,1.1772005558013916,0.0838087648153305,500
4,0,0.06748103350400925,0.20276713371276855,-0.11727166175842285,0.012000000104308128,0.08314894884824753,0.13218411803245544,4,76,0.05865199863910675,0.8829012513160706,0.05865199863910675,500
5,0,0.04297366365790367,0.1394411325454712,-0.0198972225189209,0.012000000104308128,0.07767260819673538,0.14809586107730865,4,76,0.03414463624358177,0.6867008805274963,0.03414463624358177,500
6,0,0.07164866477251053,0.11017012596130371,-0.09349918365478516,0.012000000104308128,0.08555542677640915,0.12690483033657074,4,76,0.06281968951225281,0.882899284362793,0.06281968951225281,500
7,0,0.06957066059112549,0.15522706508636475,-0.1162879467010498,0.012000000104308128,0.08060318976640701,0.12976744771003723,4,76,0.06074170395731926,0.8828986287117004,0.06074170395731926,500
8,0,0.0603095218539238,0.2970377206802368,-0.012331008911132812,0.012000000104308128,0.08875779807567596,0.13436266779899597,20,78,0.019607732072472572,0.24876505136489868,0.019607732072472572,500
9,0,0.054597608745098114,0.12183845043182373,0.0439763069152832,0.012000000104308128,0.08081912994384766,0.14646154642105103,12,78,0.013266266323626041,0.11233542859554291,0.013433322310447693,500
10,0,0.07771675288677216,0.15081262588500977,-0.13331258296966553,0.012000000104308128,0.08111601322889328,0.12574927508831024,4,76,0.06888774037361145,0.981000542640686,0.06888774037361145,500
11,0,0.07925764471292496,0.18218326568603516,-0.1410151720046997,0.012000000104308128,0.08101418614387512,0.12360857427120209,4,76,0.07042860239744186,0.9810015559196472,0.07042860239744186,500
12,0,0.04888713359832764,0.1961669921875,-0.07511234283447266,0.012000000104308128,0.08150925487279892,0.14434203505516052,4,74,0.040058158338069916,0.6866992115974426,0.040058158338069916,500
13,0,0.09844335168600082,0.1539325714111328,-0.18157076835632324,0.012000000104308128,0.09660346806049347,0.1159055158495903,4,78,0.08961445093154907,1.0790965557098389,0.08961445093154907,500
14,0,0.047969311475753784,0.22329258918762207,-0.06834793090820312,0.012000000104308128,0.08257023990154266,0.14382070302963257,4,76,0.03914034366607666,0.7847989201545715,0.03914034366607666,500
15,0,0.06305846571922302,0.28116869926452637,-0.06834304332733154,0.012000000104308128,0.09163754433393478,0.1249208077788353,4,78,0.0542294941842556,0.7847991585731506,0.0542294941842556,500
16,0,0.09285172820091248,0.25777649879455566,0.16650938987731934,0.012000000104308128,0.08972757309675217,0.11741379648447037,8,78,0.05851687490940094,1.0790979862213135,0.05851687490940094,500
17,0,0.01262484211474657,0.15326905250549316,-0.16978788375854492,0.012000000104308128,0.1727987378835678,0.2565353214740753,4,74,0.01211961917579174,0.01370861567556858,0.01211961917579174,500
