step,state,force_close,jpos_shoulder_pan,jpos_shoulder_lift,jpos_elbow_flex,jpos_wrist_flex,jpos_wrist_roll,jpos_gripper,jpos_left_proximal,jpos_right_proximal,jpos_left_distal,jpos_right_distal,jvel_shoulder_pan,jvel_shoulder_lift,jvel_elbow_flex,jvel_wrist_flex,jvel_wrist_roll,jvel_gripper,jvel_left_proximal,jvel_right_proximal,jvel_left_distal,jvel_right_distal,action_0,action_1,action_2,action_3,action_4,action_5,target_ee_x,target_ee_y,target_ee_z,current_ee_x,current_ee_y,current_ee_z,cube_x,cube_y,cube_z
10,APPROACH,0,0.02962425909936428,0.03741663321852684,0.04258669912815094,1.5871537923812866,0.00033276694011874497,-2.8843893939978216e-09,-1.6412834156653844e-05,0.14038698375225067,0.0008541526622138917,-0.0912662148475647,0.1474476158618927,0.07776246219873428,0.19841060042381287,0.07622469216585159,-0.0007172371842898428,2.1960342564852908e-05,-0.031092919409275055,0.06463033705949783,0.031115148216485977,-0.03109303116798401,0.06140236184000969,0.04577026888728142,0.08045541495084763,0.03112141415476799,0.00022184464614838362,1.0,0.2104785442352295,-0.04507320746779442,0.11199995130300522,0.23034192621707916,-0.005851960275322199,0.1616297960281372,0.2104785442352295,-0.04507320746779442,0.011999950744211674
11,APPROACH,0,0.032675158232450485,0.04129067063331604,0.046653490513563156,1.5886708498001099,0.00036429971805773675,-3.45839690218952e-09,-1.716782026051078e-05,0.14451472461223602,0.0008925895090214908,-0.08894998580217361,0.148734912276268,0.07875028997659683,0.19709226489067078,0.0745590478181839,0.00043311755871400237,2.1724215457652463e-06,-0.00396081293001771,0.03671716898679733,0.003963261842727661,-0.003960788249969482,0.06371959298849106,0.048669397830963135,0.08280427753925323,0.03167041391134262,0.00024286650295834988,1.0,0.21047855913639069,-0.04507321119308472,0.11199994385242462,0.2301311492919922,-0.0064298659563064575,0.16049164533615112,0.21047855913639069,-0.04507321119308472,0.011999944224953651
12,APPROACH,0,0.035746585577726364,0.04517936334013939,0.05067810043692589,1.590151071548462,0.000395416805986315,-4.2505075015242255e-09,-1.7831564036896452e-05,0.14784978330135345,0.0009269177680835128,-0.08602205663919449,0.14997494220733643,0.07971814274787903,0.1957661211490631,0.072884202003479,0.0013519525527954102,-1.7652480892138556e-05,0.017700619995594025,0.014029297977685928,-0.017717983573675156,0.017700612545013428,0.06605436652898788,0.05157133564352989,0.08512284606695175,0.032198987901210785,0.00026361123309470713,1.0,0.21047855913639069,-0.04507321119308472,0.11199993640184402,0.22991585731506348,-0.007010415196418762,0.15936046838760376,0.21047855913639069,-0.04507321119308472,0.011999936774373055
13,APPROACH,0,0.03883884474635124,0.04908223822712898,0.05466058477759361,1.5915945768356323,0.0004261829308234155,-4.9140762570232255e-09,-1.8413044017506763e-05,0.15054728090763092,0.0009574285359121859,-0.08267493546009064,0.15117990970611572,0.08066591620445251,0.19443154335021973,0.0712091326713562,0.002084723673760891,-3.694136830745265e-05,0.03497651591897011,-0.004442792385816574,-0.03501317277550697,0.03497648239135742,0.0684071034193039,0.054475560784339905,0.08741116523742676,0.032707296311855316,0.00028412198298610747,1.0,0.2104785293340683,-0.045073192566633224,0.11199992150068283,0.22969605028629303,-0.0075936084613204,0.15823614597320557,0.2104785293340683,-0.045073192566633224,0.011999922804534435
14,APPROACH,0,0.04195226728916168,0.05299883708357811,0.05860106274485588,1.5930017232894897,0.00045664963545277715,-5.65120350515258e-09,-1.8920571164926514e-05,0.15273185074329376,0.0009843884035944939,-0.07905855029821396,0.15236049890518188,0.08159269392490387,0.19308774173259735,0.06953677535057068,0.0026681453455239534,-5.536236858461052e-05,0.048742085695266724,-0.019515492022037506,-0.048797186464071274,0.04874217510223389,0.07077813148498535,0.05738165229558945,0.08966924250125885,0.033195655792951584,0.00030443310970440507,1.0,0.2104785442352295,-0.04507321119308472,0.1119999811053276,0.22947169840335846,-0.00817938894033432,0.15711891651153564,0.2104785442352295,-0.04507321119308472,0.011999976821243763
15,APPROACH,0,0.04508717730641365,0.05692865699529648,0.06249959394335747,1.5943725109100342,0.0004868577525485307,-6.469049740331911e-09,-1.9360892110853456e-05,0.154503732919693,0.0010080435313284397,-0.07528869807720184,0.15352508425712585,0.08249898999929428,0.19173499941825867,0.0678713470697403,0.003131951205432415,-7.27813967387192e-05,0.059702761471271515,-0.03184860199689865,-0.059775277972221375,0.05970275402069092,0.07316760718822479,0.06028875336050987,0.09189720451831818,0.03366430848836899,0.00032457185443490744,1.0,0.21047866344451904,-0.04507330805063248,0.11199997365474701,0.22924309968948364,-0.00876789540052414,0.15600863099098206,0.21047866344451904,-0.04507330805063248,0.011999974958598614
16,APPROACH,0,0.04824389889836311,0.06087120994925499,0.06635626405477524,1.5957077741622925,0.00051684002391994,-7.358953890701514e-09,-1.9740828065550886e-05,0.1559433788061142,0.001028623548336327,-0.07145413011312485,0.1546798050403595,0.08338303118944168,0.19037288427352905,0.06621435284614563,0.003500057617202401,-8.908860036171973e-05,0.06842321902513504,-0.04197189211845398,-0.06851205974817276,0.06842324137687683,0.07557594776153564,0.06319649517536163,0.09409525245428085,0.0341140441596508,0.00034456001594662666,1.0,0.21047867834568024,-0.04507330432534218,0.11199997365474701,0.22901000082492828,-0.009359071031212807,0.1549053192138672,0.21047867834568024,-0.04507330432534218,0.011999968439340591
17,APPROACH,0,0.05142273008823395,0.06482596695423126,0.07017114758491516,1.597007393836975,0.0005466227885335684,-8.410975915751351e-09,-2.0065370335942134e-05,0.15711545944213867,0.0010463391663506627,-0.06762205064296722,0.1558304727077484,0.08424443751573563,0.1890023797750473,0.0645708441734314,0.0037918509915471077,-0.00010430646216263995,0.07535761594772339,-0.05031295865774155,-0.07546169310808182,0.075357586145401,0.07800357043743134,0.06610384583473206,0.09626349061727524,0.034544944763183594,0.0003644152020569891,1.0,0.21047867834568024,-0.045073315501213074,0.11199994385242462,0.2287725806236267,-0.009952862747013569,0.1538088619709015,0.21047867834568024,-0.045073315501213074,0.011999944224953651
18,APPROACH,0,0.0546240396797657,0.06879230588674545,0.0739443451166153,1.5982719659805298,0.0005762260989286005,-9.207276718825597e-09,-2.033988494076766e-05,0.15807181596755981,0.0010613846825435758,-0.06384281814098358,0.156981959939003,0.08508066087961197,0.18762338161468506,0.0629405751824379,0.004022769629955292,-0.00011843512038467452,0.08086823672056198,-0.057214222848415375,-0.08098647743463516,0.08086830377578735,0.08045056462287903,0.06901013106107712,0.09840228408575058,0.034957967698574066,0.00038415074232034385,1.0,0.2104785293340683,-0.04507320001721382,0.11199993640184402,0.2285308837890625,-0.010549456812441349,0.1527194082736969,0.2104785293340683,-0.04507320001721382,0.011999937705695629
19,APPROACH,0,0.05784814432263374,0.0727696493268013,0.077675960958004,1.5995025634765625,0.0006056670681573451,-1.0259632254872031e-08,-2.056918128801044e-05,0.1588539332151413,0.001073945197276771,-0.06015319377183914,0.15813691914081573,0.08589110523462296,0.18623703718185425,0.061326175928115845,0.00420532189309597,-0.00013158777437638491,0.08524790406227112,-0.062953881919384,-0.08537930995225906,0.08524790406227112,0.08291759341955185,0.07191504538059235,0.10051115602254868,0.03535326570272446,0.00040377804543823004,1.0,0.2104785293340683,-0.04507319629192352,0.11199993640184402,0.2282848209142685,-0.01114879734814167,0.15163695812225342,0.2104785293340683,-0.04507319629192352,0.011999932117760181
